# lon lat thick
4.155700000000000216e+01 -7.699800000000000466e+01 1.930000000000000000e+02
4.169200000000000017e+01 -7.698099999999999454e+01 1.930000000000000000e+02
4.182800000000000296e+01 -7.696399999999999864e+01 1.930000000000000000e+02
4.196699999999999875e+01 -7.694899999999999807e+01 1.930000000000000000e+02
4.210799999999999699e+01 -7.693399999999999750e+01 1.930000000000000000e+02
4.225099999999999767e+01 -7.692100000000000648e+01 1.930000000000000000e+02
4.239500000000000313e+01 -7.690900000000000603e+01 1.930000000000000000e+02
4.254099999999999682e+01 -7.689799999999999613e+01 1.930000000000000000e+02
4.268800000000000239e+01 -7.688800000000000523e+01 1.930000000000000000e+02
4.283700000000000330e+01 -7.687900000000000489e+01 1.940000000000000000e+02
4.298700000000000188e+01 -7.687099999999999511e+01 1.930000000000000000e+02
4.313700000000000045e+01 -7.686400000000000432e+01 1.930000000000000000e+02
4.328900000000000148e+01 -7.685800000000000409e+01 1.930000000000000000e+02
4.344100000000000250e+01 -7.685399999999999920e+01 1.930000000000000000e+02
4.359400000000000119e+01 -7.684999999999999432e+01 1.930000000000000000e+02
4.374699999999999989e+01 -7.684799999999999898e+01 1.930000000000000000e+02
4.389999999999999858e+01 -7.684600000000000364e+01 1.920000000000000000e+02
4.405299999999999727e+01 -7.684600000000000364e+01 1.920000000000000000e+02
4.420700000000000074e+01 -7.684699999999999420e+01 1.920000000000000000e+02
4.435999999999999943e+01 -7.684900000000000375e+01 1.920000000000000000e+02
4.451299999999999812e+01 -7.685299999999999443e+01 1.910000000000000000e+02
4.466499999999999915e+01 -7.685699999999999932e+01 1.910000000000000000e+02
4.481600000000000250e+01 -7.686299999999999955e+01 1.910000000000000000e+02
4.496699999999999875e+01 -7.686899999999999977e+01 1.900000000000000000e+02
4.511699999999999733e+01 -7.687699999999999534e+01 1.900000000000000000e+02
4.526599999999999824e+01 -7.688599999999999568e+01 1.890000000000000000e+02
4.541299999999999670e+01 -7.689600000000000080e+01 1.890000000000000000e+02
4.556000000000000227e+01 -7.690699999999999648e+01 1.890000000000000000e+02
4.570400000000000063e+01 -7.691899999999999693e+01 1.880000000000000000e+02
4.584700000000000131e+01 -7.693200000000000216e+01 1.880000000000000000e+02
4.598799999999999955e+01 -7.694599999999999795e+01 1.880000000000000000e+02
4.612800000000000011e+01 -7.696099999999999852e+01 1.870000000000000000e+02
4.626500000000000057e+01 -7.697700000000000387e+01 1.870000000000000000e+02
4.639999999999999858e+01 -7.699500000000000455e+01 1.860000000000000000e+02
4.653199999999999648e+01 -7.701300000000000523e+01 1.860000000000000000e+02
4.666199999999999903e+01 -7.703199999999999648e+01 1.850000000000000000e+02
4.678900000000000148e+01 -7.705200000000000671e+01 1.850000000000000000e+02
